연번,날짜,시간,구분,문자전송내용
1,2025-01-07,06:38,기상특보,"현재 1100도로 대소형 통제 / 516도로 소형체인. 다른 도로로 우회 또는 대중교통 이용하시기 바라며, 제주경찰청 도로통제상황 확인바랍니다.[제주도]"
2,2025-01-08,20:34,기상특보,"현재 1100도로 대소형 통제 / 516도로 대소형 체인. 다른 도로로 우회 또는 대중교통 이용하시기 바라며, 제주경찰청 도로통제상황 확인바랍니다.[제주도]"
3,2025-01-08,21:01,기상특보,"산지 대설주의보 발효 중. 1100도로, 516도로 대소형 통제. 노선버스 평화로 우회예정, 안전에 유의바라며, 제주경찰청 도로통제상황 확인바랍니다.[제주도]"
4,2025-01-09,15:20,기상특보,"현재 1100도로 및 516도로 대,소형차량 통제. 비자림, 명림로 등 부분결빙. 안전운행 및 대중교통 이용바라며, 제주경찰청 도로통제상황 확인바랍니다.[제주도]"
5,2025-01-09,17:16,기상특보,"1100도로 및 516도로 대/소형 통제. 번영로, 남조로, 명림로 소형 체인, 안전운행 및 대중교통 이용바라며, 제주경찰청 도로통제상황 확인바랍니다.[제주도]"
6,2025-01-09,20:02,기상특보,도내 대설특보 발효 중. 도로 결빙주의/차량운행 자제/출퇴근 시 대중교통 이용/빙판길 낙상 주의 등 안전에 유의바랍니다.[제주도]
7,2025-01-10,05:58,기상특보,"1100도로,516도로 전면통제/제1산록도로 대소형체인/평화로,번영로,애조로 등 산간도로 소형체인. 대중교통 이용 및 안전사고에 유의바랍니다. [제주특별자치도]"
8,2025-01-10,06:15,기상특보,"1100로, 5.16로 도로통제(폭설)로 인해 노선버스 우회 운행 중이오니 제주버스정보시스템 확인바랍니다. [제주특별자치도]"
9,2025-01-10,07:17,기상특보,"1100도로,516도로 전면통제/제1산록도로 대소형체인/번영로,평화로 등 산간도로 소형체인 안전운행 및 대중교통 이용, 경찰청 도로통제상황 확인바랍니다.[제주도]"
10,2025-01-10,08:02,기상특보,"1100도로,516도로 전면통제/제1산록도로 대소형체인/번영로,평화로 등 산간도로 소형체인 안전운행 및 대중교통 이용, 경찰청 도로통제상황 확인바랍니다.[제주도]"
